Юр. лицо,ФИО,Адресс,Регион,ОГРН ,ИНН,Основной вид деятельности
"ПАО ""ТОПЛИВА И ЭНЕРГЕТИКИ""",БЕРДУКАЕВ МАГОМЕД САИД-МАГОМЕДОВИЧ,"368006, Республика Дагестан, г. Хасавюрт, Улица Комсомольская, Дом 102, Корпус А",Республика Дагестан,1150544001585,0544010371,41.20
"АО ""ГАЗПРОМНЕФТЬ-АЛЬТЕРНАТИВНОЕ ТОПЛИВО""",ПОЛЗИК ВИТАЛИЙ СЕРГЕЕВИЧ,"105082, г. Москва, Улица Почтовая Б., Дом 26, Сооружение 1, Кабинет 1",Москва,1067746561486,7701657566,46.71
"ЗАО ""ТОПЛИВО""",МОЧАЛОВ ВЯЧЕСЛАВ ИГОРЕВИЧ,"653000, Область Кемеровская, г. Прокопьевск, Улица Горная, 1",Кемеровская область,1034223004705,4239000293,82.99
"ПАО ""ЕВРАЗИЙСКАЯ ТОПЛИВНАЯ КОМПАНИЯ""",ЧЕРКЕСОВ АРТУР ЮРЬЕВИЧ,"127055, г. Москва, Тупик Тихвинский 1-Й, Дом 5-7, Помещение I Комн 2",Москва,1157746572565,7707344440,46.71
"ПАО ""ВАНИНСКИЙ ТОПЛИВНЫЙ ТЕРМИНАЛ""",МИХАЛЬЧУК ЮРИЙ ВИТАЛЬЕВИЧ,"682860, Край Хабаровский, Район Ванинский, Рабочий Поселок Ванино, Улица Одесская, Дом 1а",Хабаровский край,1022700711615,2709002153,68.20
"АО ""ТОПЛИВОСНАБ""",КАРМАНОВА ЮЛИЯ ЮРЬЕВНА,"656037, Край Алтайский, г. Барнаул, Проспект Ленина, Дом 154/1",Алтайский край,1022200809553,2209018469,47.30
"ЗАО ""СНАБСБЫТ-ТОПЛИВО""",УЧЕВАТКИН СЕРГЕЙ АЛЕКСАНДРОВИЧ,"454047, Область Челябинская, г. Челябинск, Улица 60-Летия Октября, 3, 49",Челябинская область,1117450001712,7450072907,46.71
"ЗАО ""ХОЛДИНГ ""ЗЕЛЕНОЕ ТОПЛИВО""",ЕРОФЕЕВ ЕВГЕНИЙ НИКОЛАЕВИЧ,"101000, г. Москва, Улица Покровка, Дом 1/13/6, Строение  2, Офис 35",Москва,5137746215558,7701381854,46.71
"ЗАО НК ""РУССКОЕ ТОПЛИВО""",ШАТУНОВ ЭДУАРД ГЕННАДЬЕВИЧ,"350000, Край Краснодарский, г. Краснодар, Улица Им Леваневского, 108",Краснодарский край,1122310002968,2310162213,52.10
"АО ""ТОПЛИВНЫЕ РЕШЕНИЯ""",ВОЛОСЕЦКИЙ ДАНИИЛ ИГОРЕВИЧ,"115088, г. Москва, Улица Машиностроения 2-Я, Дом 25, Строение 5, Этаж 4 Комн 24д",Москва,1187746567953,7722461638,46.71
